Количество комнат;Парковка;Стоимость;Регион;Название дома (ЖК);Лифт грузовой (кол-во);Балкон/лоджия;Тип дома;Кол-во раздельных санузлов;Ремонт;Расстояние до метро
2.0;Неизвестно;7837170;Москва;ЖК «Мякинино парк»;2.0;Нет;Панельный;2.0;Отсутсвует;1.25
3.0;Неизвестно;11114090;Москва;ЖК «Михайловский парк»;1.0;Нет;Монолитный;2.0;Отсутсвует;0.5
1.0;Неизвестно;7955280;Москва;ЖК «Римского-Корсакова 11»;1.0;Нет;Панельный;0.0;Отсутсвует;0.75
2.0;Неизвестно;5427240;Мытищи;ЖК «Ярославский»;2.0;Нет;Монолитный;2.0;Отсутсвует;1.75
2.0;Неизвестно;5777530;Мытищи;ЖК «Ярославский»;2.0;Нет;Монолитный;2.0;Отсутсвует;1.75
2.0;Неизвестно;13433808;Москва;ЖК «Измайловский 11»;1.0;Балкон;Монолитный;2.0;Отсутсвует;0.5
1.0;Неизвестно;8461290;Москва;ЖК «Измайловский 11»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.5
1.0;Неизвестно;8659728;Москва;ЖК «Измайловский 11»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.5
1.0;Неизвестно;8859510;Москва;ЖК «Измайловский 11»;1.0;Балкон;Монолитный;0.0;Отсутсвует;0.5
2.0;Неизвестно;12223575;Москва;ЖК «Измайловский 11»;1.0;Балкон;Монолитный;2.0;Отсутсвует;0.5
2.0;Неизвестно;12518730;Москва;ЖК «Измайловский 11»;1.0;Балкон;Монолитный;2.0;Отсутсвует;0.5
1.0;Неизвестно;7171523;Москва;ЖК «Измайловский 11»;1.0;Балкон;Монолитный;0.0;Отсутсвует;0.5
1.0;Неизвестно;7621700;Москва;ЖК «Мещерский лес»;1.0;Нет;Панельный;0.0;Отсутсвует;0.5831
2.0;Неизвестно;9899340;Москва;ЖК «Мещерский лес»;2.0;Нет;Панельный;2.0;Отсутсвует;0.5831
2.0;Неизвестно;10246720;Москва;ЖК «Мещерский лес»;2.0;Нет;Панельный;0.0;Отсутсвует;0.5831
3.0;Неизвестно;11362420;Москва;ЖК «Мещерский лес»;1.0;Нет;Панельный;0.0;Отсутсвует;0.5831
2.0;Неизвестно;9889920;Москва;ЖК «Мещерский лес»;1.0;Балкон;Панельный;2.0;Отсутсвует;0.5831
2.0;Неизвестно;10203700;Москва;ЖК «Мещерский лес»;1.0;Балкон;Панельный;1.0;Отсутсвует;0.5831
2.0;Неизвестно;10552050;Москва;ЖК «Мещерский лес»;1.0;Нет;Панельный;0.0;Отсутсвует;0.5831
1.0;Неизвестно;7144320;Москва;ЖК «Мещерский лес»;2.0;Нет;Панельный;0.0;Отсутсвует;0.5831
2.0;Неизвестно;9537160;Москва;ЖК «Мещерский лес»;1.0;Нет;Панельный;1.0;Отсутсвует;0.5831
2.0;Неизвестно;10895820;Москва;ЖК «Мещерский лес»;1.0;Нет;Панельный;0.0;Отсутсвует;0.5831
1.0;Неизвестно;10879130;Москва;ЖК «Западный порт»;1.0;Балкон;Монолитный;0.0;Отсутсвует;0.4998
3.0;Неизвестно;19306080;Москва;ЖК «Западный порт»;1.0;Балкон;Монолитный;0.0;Отсутсвует;0.4998
2.0;Неизвестно;13609280;Москва;ЖК «Западный порт»;1.0;Балкон;Монолитный;2.0;Отсутсвует;0.4998
1.0;Неизвестно;9257220;Москва;ЖК «Западный порт»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.4998
3.0;Неизвестно;20088200;Москва;ЖК «Западный порт»;1.0;Балкон;Монолитный;2.0;Отсутсвует;0.4998
0.0;Неизвестно;3283500;Одинцовский;ЖК «Одинцово-1»;1.0;Нет;Монолитный;0.0;Отсутсвует;5.0
2.0;Неизвестно;6068160;Одинцовский;ЖК «Одинцово-1»;1.0;Нет;Монолитный;2.0;Отсутсвует;5.0
3.0;Неизвестно;6963120;Одинцовский;ЖК «Одинцово-1»;1.0;Нет;Монолитный;2.0;Отсутсвует;5.0
1.0;Неизвестно;5005260;Одинцовский;ЖК «Одинцово-1»;1.0;Нет;Монолитный;0.0;Отсутсвует;5.0
1.0;Неизвестно;4695710;Одинцовский;ЖК «Одинцово-1»;2.0;Нет;Монолитный;0.0;Отсутсвует;5.0
2.0;Неизвестно;6214780;Одинцовский;ЖК «Одинцово-1»;1.0;Нет;Монолитный;0.0;Отсутсвует;5.0
3.0;Неизвестно;7327320;Одинцовский;ЖК «Одинцово-1»;1.0;Нет;Монолитный;0.0;Отсутсвует;5.0
3.0;Неизвестно;6593760;Одинцовский;ЖК «Одинцово-1»;1.0;Нет;Монолитный;2.0;Отсутсвует;5.0
3.0;Неизвестно;11487840;Красногорский;ЖК «Митино парк»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.5
2.0;Неизвестно;8713600;Красногорский;ЖК «Митино парк»;2.0;Балкон;Монолитный;0.0;Отсутсвует;0.5
3.0;Неизвестно;15445170;Москва;ЖК «Римского-Корсакова 11»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.75
2.0;Неизвестно;9097010;Москва;ЖК «Римского-Корсакова 11»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.75
